EnglishName,Species,GB Red List category
Black-veined White,Aporia crataegi,Regionally Extinct
Large Tortoiseshell,Nymphalis polychloros,Regionally Extinct
Large Copper,Lycaena dispar,Regionally Extinct
Mazarine Blue,Cyaniris semiargus,Regionally Extinct
Wood White,Leptidea sinapis,Endangered
Wall,Lasiommata megera,Endangered
Large Heath,Coenonympha tullia,Endangered
Grayling,Hipparchia semele,Endangered
High Brown Fritillary,Fabriciana adippe,Endangered
Glanville Fritillary,Melitaea cinxia,Endangered
Heath Fritillary,Melitaea athalia,Endangered
Black Hairstreak,Satyrium pruni,Endangered
Swallowtail,Papilio machaon,Vulnerable
Grizzled Skipper,Pyrgus malvae,Vulnerable
Silver-spotted Skipper,Hesperia comma,Vulnerable
Small Heath,Coenonympha pamphilus,Vulnerable
Scotch Argus,Erebia aethiops,Vulnerable
Pearl-bordered Fritillary,Boloria euphrosyne,Vulnerable
Small Pearl-bordered Fritillary,Boloria selene,Vulnerable
White Admiral,Limenitis camilla,Vulnerable
Marsh Fritillary,Euphydryas aurinia,Vulnerable
Duke of Burgundy,Hamearis lucina,Vulnerable
Brown Hairstreak,Thecla betulae,Vulnerable
White-letter Hairstreak,Satyrium w-album,Vulnerable
Silver-studded Blue,Plebejus argus,Vulnerable
Northern Brown Argus,Aricia artaxerxes,Vulnerable
Adonis Blue,Polyommatus bellargus,Vulnerable
Chalk Hill Blue,Polyommatus coridon,Vulnerable
Lulworth Skipper,Thymelicus acteon,Near Threatened
Mountain Ringlet,Erebia epiphron,Near Threatened
Dark Green Fritillary,Speyeria aglaja,Near Threatened
Small Blue,Cupido minimus,Near Threatened
Large Blue,Phengaris arion,Near Threatened
