Location,VC_To_Use
Greater London,Middlesex
Dumfries,Dumfriesshire
West Midlands,Worcestershire
cotswolds,East Gloucestershire
South Wales,Glamorganshire
Cumbria,Cumberland
Yorkshire,North-east Yorkshire
East lothian,East Lothian
Perthshire,Mid Perthshire
Invernesshire,East Inverness-shire
Bristol,West Gloucestershire
Hebrides,North Ebudes
Isle of Lewis,Outer Hebrides
Isle of Vatersay,Outer Hebrides
Durham,County Durham
Glamorgan,Glamorganshire
Merseyside,Cheshire
North Scotland,Mid Perthshire
North Wales,Denbighshire
Isle of Portland,Dorset
Sutherland,East Sutherland
