Species,Generation,Overwinter,Early larval month,Late larval month,Pupal month,NOTE,n
A cardamines,NA,Pupa,June,July,April,NA,395
A cardamines,NA,Pupa,June,July,September,NA,803
A io,NA,Adult,May,June,July,NA,392
A iris,NA,Larva,September,March,July,NA,71
A iris,NA,Larva,September,May,July,NA,58
A paphia,NA,Larva,April,June,July,NA,612
A paphia,NA,Larva,March,June,July,NA,545
A urticae,1,Adult,April,May,June,NA,467
A urticae,2,Adult,July,August,September,NA,301
E aurinia,NA,Larva,July,May,June,NA,2181
E tages,NA,Larva,June,August,April,NA,613
F adippe,NA,Egg,April,May,July,NA,655
F quercus,NA,Egg,March,May,July,NA,276
G rhamni,NA,Adult,May,June,July,NA,306
H comma,NA,Egg,April,June,August,These data are used for the temperature size response results,1
H comma,NA,Egg,April,June,August,NA,220
H comma,NA,Egg,March,June,July,NA,243
H semele,NA,Larva,August,April,June,NA,573
H semele,NA,Larva,March,April,June,NA,692
M athalia,NA,Larva,August,March,May,NA,894
M cinxia,NA,Larva,August,March,May,NA,379
O sylvanus,NA,Larva,August,May,June,NA,321
O sylvanus,NA,Larva,September,May,July,NA,524
P argus,NA,Egg,March,May,July,NA,130
P argus,NA,Egg,March,May,June,NA,281
P bellargus,1,Larva,March,May,NA,NA,190
P bellargus,2,Larva,June,July,August,NA,531
P coridon,NA,Egg,May,June,July,NA,417
P malvae,NA,Pupa,May,July,March,NA,804
P napi,NA,Pupa,August,September,April,NA,1
P napi,NA,Pupa,August,September,March,NA,568
P napi,NA,Pupa,May,June,July,NA,692
S aglaja,NA,Larva,March,May,June,NA,1161
T betulae,NA,Egg,April,May,June,NA,64
T betulae,NA,Egg,May,June,July,NA,73
T lineola,NA,Egg,April,May,June,NA,546
T sylvestris,NA,Larva,April,May,June,NA,746
