Taxon name,Specialism
Thymelicus sylvestris,Habitat and foodplant generalist
Favonius quercus,Habitat generalist and foodplant specialist
Cupido minimus,Habitat generalist and foodplant specialist
Maniola jurtina,Habitat and foodplant generalist
Lasiommata megera,Habitat and foodplant generalist
Polygonia c-album,Habitat and foodplant generalist
Gonepteryx rhamni,Habitat generalist and foodplant specialist
Hipparchia semele,Habitat specialist and foodplant generalist
Erynnis tages,Habitat generalist and foodplant specialist
Polyommatus bellargus,Habitat and foodplant specialist
Celastrina argiolus,Habitat and foodplant generalist
Aglais io,Habitat generalist and foodplant specialist
Limenitis camilla,Habitat and foodplant specialist
Speyeria aglaja,Habitat generalist and foodplant specialist
Pieris brassicae,Habitat generalist and foodplant specialist
Pyrgus malvae,Habitat and foodplant generalist
Polyommatus icarus,Habitat and foodplant generalist
Lycaena phlaeas,Habitat generalist and foodplant specialist
Aglais urticae,Habitat generalist and foodplant specialist
Melanargia galathea,Habitat and foodplant generalist
Coenonympha tullia,Habitat and foodplant specialist
Leptidea sinapis,Habitat and foodplant specialist
Hesperia comma,Habitat and foodplant specialist
Aricia agestis,Habitat and foodplant specialist
Pyronia tithonus,Habitat generalist and foodplant specialist
Argynnis paphia,Habitat generalist and foodplant specialist
Pararge aegeria,Habitat and foodplant generalist
Papilio machaon,Habitat and foodplant specialist
Anthocharis cardamines,Habitat and foodplant generalist
Pieris napi,Habitat and foodplant generalist
Polyommatus coridon,Habitat generalist and foodplant specialist
Thymelicus lineola,Habitat and foodplant generalist
Boloria selene,Habitat and foodplant specialist
Melitaea cinxia,Habitat and foodplant specialist
Nymphalis polychloros,Habitat and foodplant generalist
Erebia epiphron,Habitat and foodplant specialist
Thymelicus acteon,Habitat and foodplant specialist
Hamearis lucina,Habitat and foodplant specialist
Satyrium pruni,Habitat and foodplant specialist
Pieris rapae,Habitat and foodplant generalist
Ochlodes sylvanus,Habitat and foodplant generalist
Erebia aethiops,Habitat specialist and foodplant generalist
Euphydryas aurinia,Habitat generalist and foodplant specialist
Melitaea athalia,Habitat and foodplant generalist
Plebejus argus,Habitat specialist and foodplant generalist
Boloria euphrosyne,Habitat generalist and foodplant specialist
Coenonympha pamphilus,Habitat generalist and foodplant specialist
Callophrys rubi,Habitat and foodplant generalist
Fabriciana adippe,Habitat generalist and foodplant specialist
Apatura iris,Habitat and foodplant specialist
Thecla betulae,Habitat generalist and foodplant specialist
Aphantopus hyperantus,Habitat and foodplant generalist
Carterocephalus palaemon,Habitat and foodplant specialist
Satyrium w-album,Habitat and foodplant specialist
Aricia artaxerxes,Habitat and foodplant specialist
